Sno,Feature1,Dog Name,Feature2,Feature3,Feature4,Feature5,Feature6,Money,Count,Debt,IsActiveMember,EstimatedSalary,id,Gender2,Customer Type,Age2,Type of Travel,Class,Distance,Rating0,Rating1,Rating2,Rating3,Rating4,Rating5,Rating6,Rating7,Rating8,Rating9,Rating10,Rating11,Rating12,Rating13,Departure Delay in Minutes,Arrival Delay in Minutes
0,15784918,Brown,498,Germany,Male,35,2,121968.11,2,0,1,188343.05,123666,Female,Loyal Customer,68,Business travel,Eco,214,1,4,4,4,1,4,3,1,1,1,1,2,1,3,0,0
1,15584785,Ogochukwu,660,France,Male,37,2,97324.91,1,1,0,23291.83,66128,Male,Loyal Customer,36,Personal Travel,Eco,583,1,5,1,3,1,1,1,1,5,4,5,3,5,1,0,12
2,15797197,Macleod,678,Spain,Male,29,6,0,2,1,0,64443.75,84319,Male,Loyal Customer,19,Business travel,Business,2482,3,5,5,5,3,3,3,3,3,1,2,4,3,3,70,61
3,15574858,Page,530,France,Male,37,8,0,2,1,1,287.99,127770,Female,Loyal Customer,45,Business travel,Business,2831,5,5,5,5,3,4,4,5,5,5,5,3,5,5,0,0
4,15794101,Barese,559,France,Female,48,2,0,2,0,1,137961.41,84279,Female,Loyal Customer,70,Personal Travel,Eco,334,1,2,1,4,2,3,4,5,5,1,5,2,5,2,0,0
5,15743245,Agafonova,624,France,Male,42,3,145155.37,1,1,0,72169.95,65222,Male,Loyal Customer,56,Business travel,Business,247,0,0,0,1,4,5,5,4,4,4,4,4,4,4,9,1
6,15791535,Caraway,592,France,Male,28,5,137222.77,1,0,0,39608.58,44178,Male,Loyal Customer,58,Business travel,Business,231,3,3,3,3,1,5,4,4,4,4,4,2,4,1,0,0
7,15605215,Stevenson,767,France,Male,48,9,0,2,0,1,175458.21,118160,Male,Loyal Customer,51,Business travel,Business,1444,4,4,4,4,2,5,5,4,4,4,4,5,4,3,44,24
8,15771749,Duncan,653,Germany,Female,38,5,114268.22,2,1,1,89524.83,39038,Female,Loyal Customer,36,Personal Travel,Eco,113,1,3,0,1,2,0,2,2,5,2,3,1,2,2,0,0
9,15616833,Wang,678,Spain,Male,27,2,0,2,1,1,13221.25,80794,Female,Loyal Customer,52,Business travel,Business,2793,3,3,3,3,3,3,3,5,2,5,5,3,3,3,200,217
10,15750728,Kaur,586,Spain,Female,42,2,0,1,1,0,102889.34,12269,Female,Loyal Customer,47,Business travel,Business,3003,1,1,1,1,1,4,3,4,4,5,4,2,4,5,0,17
11,15769353,Jenkins,550,France,Female,40,8,150490.32,1,0,0,166468.21,92660,Male,disloyal Customer,39,Business travel,Business,453,1,1,1,1,4,1,2,4,4,3,4,3,5,4,0,0
12,15770091,Edwards,643,Germany,Male,28,9,160858.13,2,1,0,27149.27,30424,Male,Loyal Customer,37,Business travel,Business,1872,3,1,1,1,3,3,3,3,3,3,3,3,3,3,0,0
13,15716420,Kelly,612,Spain,Male,39,5,170288.38,1,1,1,59601.15,1104,Male,Loyal Customer,16,Personal Travel,Eco,354,2,1,4,4,5,4,5,5,2,4,3,3,4,5,0,12
14,15740602,Boyle,674,Germany,Female,27,4,111568.01,1,0,1,22026.18,49340,Female,disloyal Customer,27,Business travel,Eco,421,4,0,4,5,2,4,2,2,1,2,5,2,5,2,0,0
15,15796071,Loane,657,Spain,Male,29,7,83889.03,1,1,0,153059.62,31559,Female,Loyal Customer,14,Personal Travel,Eco,862,3,4,2,2,3,2,3,3,5,5,4,1,4,3,0,8
16,15811389,Padovano,724,Germany,Female,35,0,171982.95,2,0,1,167313.07,5756,Female,Loyal Customer,30,Business travel,Business,642,3,2,3,2,3,3,3,3,1,4,3,3,3,3,0,0
17,15783875,Li Fonti,500,France,Female,34,4,0,2,1,0,12833.96,105991,Female,Loyal Customer,41,Personal Travel,Eco,912,1,4,1,4,4,1,4,4,2,5,5,1,2,4,11,9
18,15671800,Robinson,688,France,Male,20,8,137624.4,2,1,1,197582.79,8372,Female,Loyal Customer,49,Business travel,Business,674,1,1,1,1,4,5,5,4,4,4,4,3,4,3,0,0
19,15677288,Geach,599,France,Male,50,3,121159.65,1,0,0,4033.39,60117,Female,disloyal Customer,36,Business travel,Eco,1120,2,2,2,4,5,2,2,5,2,5,3,3,4,5,70,67
20,15633525,Payne,631,France,Male,29,7,0,2,0,1,125877.22,116241,Male,Loyal Customer,13,Personal Travel,Eco,342,4,3,4,3,2,4,2,2,3,3,3,2,2,2,0,0
21,15634606,Chinonyelum,634,Spain,Male,52,1,0,2,1,1,176913.42,58738,Male,Loyal Customer,41,Business travel,Business,3888,4,4,4,4,2,5,4,5,5,5,5,4,5,5,0,0
22,15579207,Watkins,545,France,Male,37,3,91184.01,1,1,0,105476.65,51953,Female,Loyal Customer,56,Business travel,Eco,347,5,1,1,1,2,5,1,5,5,5,5,4,5,4,0,0
23,15619892,Page,644,Spain,Male,18,8,0,2,1,0,59172.42,121274,Male,Loyal Customer,56,Business travel,Business,2075,1,1,1,1,4,5,5,4,4,4,4,3,4,3,16,19
24,15567778,Genovese,690,Germany,Female,54,1,144027.8,1,1,1,108731.02,25792,Male,Loyal Customer,19,Business travel,Business,1694,1,1,1,1,3,3,3,3,5,3,5,1,4,3,2,5
