Sno,Feature1,Dog Name,Feature2,Feature3,Feature4,Feature5,Feature6,Money,Count,Debt,IsActiveMember,EstimatedSalary,id,Gender2,Customer Type,Age2,Type of Travel,Class,Distance,Rating0,Rating1,Rating2,Rating3,Rating4,Rating5,Rating6,Rating7,Rating8,Rating9,Rating10,Rating11,Rating12,Rating13,Departure Delay in Minutes,Arrival Delay in Minutes,Target1,Target2
1,15737071,Tang,639,France,Female,60,5,162039.78,1,1,1,84361.72,106324,Female,Loyal Customer,45,Business travel,Business,3028,3,3,2,3,2,5,4,5,5,4,5,4,5,3,0,0,1,1
2,15665062,Lucchese,696,France,Male,19,1,110928.51,1,1,1,2766.63,48307,Female,Loyal Customer,65,Business travel,Business,2614,2,2,2,2,5,1,4,5,5,5,5,4,5,2,27,17,0,1
3,15600692,West,520,France,Male,38,5,0,2,1,0,163185.76,59585,Male,Loyal Customer,41,Business travel,Eco,787,1,0,0,4,4,1,5,4,2,5,3,1,3,4,11,0,0,0
4,15792064,Pai,545,Germany,Male,53,5,114421.55,1,1,0,180598.28,85392,Male,disloyal Customer,36,Business travel,Business,214,3,3,3,2,5,3,5,5,4,4,5,4,5,5,1,0,1,0
5,15811486,Tang,634,Germany,Female,29,8,130036.21,2,0,1,69849.55,86749,Female,Loyal Customer,42,Business travel,Business,821,3,3,3,3,3,4,5,4,4,4,4,4,4,3,0,0,0,1
6,15626141,Fedorov,750,France,Female,26,1,151510.17,2,1,1,19921.72,68839,Male,Loyal Customer,49,Business travel,Business,3848,2,2,2,2,5,4,4,4,4,4,4,3,4,4,0,0,0,1
7,15738546,Gboliwe,530,Spain,Female,41,4,0,2,0,1,147606.71,81020,Male,Loyal Customer,61,Business travel,Business,3734,3,2,2,2,1,4,4,3,3,3,3,3,3,4,0,0,0,0
8,15677052,Ko,589,France,Female,59,2,0,2,1,1,126160.24,22387,Male,disloyal Customer,25,Business travel,Eco,83,3,3,3,4,1,3,1,1,1,2,4,4,4,1,27,21,1,0
9,15656454,Le Gallienne,654,France,Male,37,6,83568.55,1,1,0,47046.72,115593,Female,disloyal Customer,59,Business travel,Eco,417,2,3,2,3,4,2,4,4,3,1,3,2,3,4,35,58,0,0
10,15645496,Seleznyova,648,France,Female,43,7,139972.18,1,1,0,143668.58,108180,Male,Loyal Customer,51,Personal Travel,Eco,1105,1,2,1,4,4,1,4,4,1,5,4,2,4,4,8,3,0,0
11,15612505,Joseph,835,Spain,Male,45,3,100212.13,1,1,0,152577.62,120115,Female,disloyal Customer,27,Business travel,Business,1576,2,2,2,3,3,2,4,3,4,2,5,5,4,3,0,0,0,0
12,15708513,Bevan,446,France,Female,39,1,90217.07,1,1,0,191350.48,43195,Male,disloyal Customer,52,Business travel,Eco,651,3,5,3,2,3,3,3,3,3,3,3,3,3,3,0,0,0,0
13,15685654,Allan,514,Spain,Male,66,9,0,2,1,1,14234.31,89022,Male,Loyal Customer,59,Personal Travel,Business,2092,3,2,3,3,2,4,4,2,2,3,2,4,2,1,0,0,0,0
14,15732307,Lavrentiev,694,Germany,Male,33,4,124067.32,1,1,1,77906.87,62597,Male,Loyal Customer,39,Business travel,Eco,226,3,3,3,3,3,3,3,3,1,4,4,3,4,3,4,0,0,0
